, Actual 10 m,Predicted 10 m,Error at 10 m , Actual25 m,Predicted 25 m,Error at 25 m , Actual 50 m,Predicted 50 m,Error at 50 m , Actual 80 m,Predicted 80 m,Error at 80 m 
11/23/2011 15:00,41.72765957446809,912.37897,-872.1789672851562,40.65601503759399,893.63153,-853.4315307617187,39.14324324324325,853.3945,-813.1944702148437,40.2,874.8527,-834.6527221679687
11/23/2011 16:00,41.72765957446809,905.62946,-865.4294555664062,40.65601503759399,892.7657,-852.5656860351562,39.14324324324325,853.34216,-813.1421630859375,40.2,874.70917,-834.5091674804687
11/23/2011 17:00,41.72765957446809,903.4782,-863.2782104492187,40.17556390977444,892.58435,-852.3843505859375,39.14324324324325,853.2957,-813.0957153320312,40.2,874.7806,-834.5805786132812
11/23/2011 18:00,41.72765957446809,903.47754,-863.2775390625,40.17556390977444,886.19617,-845.9961669921875,39.14324324324325,852.20917,-812.0091674804687,40.2,875.07446,-834.874462890625
11/23/2011 19:00,41.72765957446809,904.2558,-864.0557983398437,40.17556390977444,883.7008,-843.5008056640625,37.991891891891896,853.4575,-813.25751953125,40.2,875.1926,-834.992626953125
11/23/2011 20:00,41.35,905.32635,-865.1263549804687,39.69511278195489,883.075,-842.8750122070312,37.991891891891896,838.84576,-798.6457641601562,40.2,875.26074,-835.0607421875
11/23/2011 21:00,41.35,898.5776,-858.3775756835937,39.69511278195489,876.5835,-836.38349609375,37.991891891891896,833.32007,-793.120068359375,40.2,875.4641,-835.264111328125
11/23/2011 22:00,41.35,895.4157,-855.2157104492187,39.69511278195489,875.92975,-835.7297485351562,37.991891891891896,831.4019,-791.2019165039062,40.2,875.22577,-835.0257690429687
11/23/2011 23:00,41.35,895.2904,-855.0904052734375,39.69511278195489,875.8995,-835.6994750976562,37.991891891891896,829.4008,-789.2008178710937,40.2,874.9024,-834.7024047851562
11/24/2011 0:00,41.35,896.49677,-856.2967651367187,39.69511278195489,875.8477,-835.6477172851562,37.991891891891896,831.66895,-791.4689453125,40.2,875.5215,-835.321484375
11/24/2011 1:00,41.35,896.45905,-856.2590454101562,39.69511278195489,876.13184,-835.9318359375,37.991891891891896,832.1771,-791.9771240234375,40.2,875.0107,-834.8106811523437
11/24/2011 2:00,41.72765957446809,894.7041,-853.9041015625,40.17556390977444,874.23914,-833.4391357421875,37.991891891891896,831.16986,-790.3698608398438,40.8,875.0107,-834.2106811523438
11/24/2011 3:00,41.72765957446809,899.8609,-859.0609008789063,40.17556390977444,880.6595,-839.8594848632813,37.991891891891896,831.1535,-790.3535034179688,40.8,881.8905,-841.0905029296875
11/24/2011 4:00,41.35,901.77423,-860.9742309570313,40.17556390977444,881.57434,-840.7743408203125,37.991891891891896,829.4851,-788.685107421875,40.8,884.66034,-843.8603393554688
11/24/2011 5:00,41.35,896.6418,-855.8417846679688,40.17556390977444,881.37695,-840.576953125,37.991891891891896,829.26025,-788.46025390625,40.8,885.5043,-844.7042724609375
11/24/2011 6:00,41.35,895.23254,-854.4325439453125,40.17556390977444,881.114,-840.314013671875,37.991891891891896,829.07294,-788.2729370117188,40.8,885.79395,-844.9939453125
11/24/2011 7:00,41.35,894.8962,-854.0961791992188,40.17556390977444,880.79065,-839.9906494140625,37.991891891891896,829.0907,-788.2906982421875,40.8,885.8704,-845.0704223632813
11/24/2011 8:00,41.35,894.6603,-853.8602783203125,40.17556390977444,881.21814,-840.4181396484375,37.991891891891896,829.11084,-788.31083984375,40.8,885.89307,-845.09306640625
11/24/2011 9:00,41.35,894.6321,-853.832080078125,40.17556390977444,881.24054,-840.4405395507813,37.991891891891896,829.3825,-788.5825073242188,40.8,886.1006,-845.3005859375
11/24/2011 10:00,41.35,895.19324,-854.3932373046875,40.17556390977444,881.8086,-841.00859375,37.991891891891896,829.30707,-788.5070678710938,40.8,886.2023,-845.4022705078125
11/24/2011 11:00,41.35,895.38586,-854.5858642578125,40.17556390977444,882.0118,-841.2117797851563,37.991891891891896,829.3465,-788.5464965820313,40.8,886.3777,-845.577685546875
11/24/2011 12:00,41.35,895.388,-854.5880004882813,40.17556390977444,882.0031,-841.2031127929688,37.991891891891896,829.1458,-788.3458129882813,40.8,886.56213,-845.7621337890625
